Column,Value (1)
id,966c36f7-9720-43ed-aae4-79caa095c7cc
name,Văn phòng
slug,van-phong
address,"06 Dương Quảng Hàm, Gò Vấp, Hồ Chí Minh"
phone,0789978898
email,elc.jointstock@gmail.com
maps_url,"https://www.google.com/maps/place/06+D%C6%B0%C6%A1ng+Qu%E1%BA%A3ng+H%C3%A0m,+Ph%C6%B0%E1%BB%9Dng+5,+H%E1%BA%A1nh+Th%C3%B4ng,+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8277832,106.6875983,17z/data=!4m6!3m5!1s0x317528f0cd3a4b15:0x373a3f7361149689!8m2!3d10.8277779!4d106.6901732!16s%2Fg%2F11pw20b3c7?entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D"
maps_embed,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3918.784682694936!2d106.68759827689965!3d10.827783158240521!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x317528f0cd3a4b15%3A0x373a3f7361149689!2zMDYgRMawxqFuZyBRdeG6o25nIEjDoG0sIFBoxrDhu51uZyA1LCBI4bqhbmggVGjDtG5nLCBI4buTIENow60gTWluaCwgVmlldG5hbQ!5e0!3m2!1sen!2s!4v1775473972161!5m2!1sen!2s
description,"{""type"": ""doc"", ""content"": [{""type"": ""heading"", ""attrs"": {""level"": 1}, ""content"": [{""text"": ""Văn phòng"", ""type"": ""text""}]}, {""type"": ""paragraph""}]}"
is_published,true
order_index,0
created_at,2026-04-06 14:55:42.155036 +00:00
meta_title,
meta_description,
updated_at,2026-04-28 01:59:27.840468 +00:00
