Ngày,Các trang bị ảnh hưởng
2026-02-17,0
2026-02-18,0
2026-02-19,0
2026-02-20,0
2026-02-21,0
2026-02-22,0
2026-02-23,0
2026-02-24,0
2026-02-25,0
2026-02-26,0
2026-02-27,0
2026-02-28,0
2026-03-01,0
2026-03-02,0
2026-03-03,0
2026-03-04,0
2026-03-05,0
2026-03-06,0
2026-03-07,0
2026-03-08,0
2026-03-09,0
2026-03-10,0
2026-03-11,0
2026-03-12,0
2026-03-13,0
2026-03-14,0
2026-03-15,0
2026-03-16,0
2026-03-17,0
2026-03-18,0
2026-03-19,0
2026-03-20,0
2026-03-21,0
2026-03-22,0
2026-03-23,0
2026-03-24,0
2026-03-25,0
2026-03-26,0
2026-03-27,0
2026-03-28,0
2026-03-29,0
2026-03-30,0
2026-03-31,0
2026-04-01,0
2026-04-02,0
2026-04-03,0
2026-04-04,0
2026-04-05,0
2026-04-06,0
2026-04-07,0
2026-04-08,0
2026-04-09,0
2026-04-10,0
2026-04-11,0
2026-04-12,0
2026-04-13,0
2026-04-14,0
2026-04-15,0
2026-04-16,0
2026-04-17,0
2026-04-18,7
2026-04-19,7
2026-04-20,7
2026-04-21,118
2026-04-22,118
2026-04-23,118
2026-04-24,118
2026-04-25,115
2026-04-26,115
2026-04-27,115
2026-04-28,115
2026-04-29,115
2026-04-30,115
2026-05-01,115
2026-05-02,104
2026-05-03,104
2026-05-04,104
2026-05-05,102
2026-05-06,102
2026-05-07,102
2026-05-08,102
2026-05-09,0
2026-05-10,0
2026-05-11,0
2026-05-12,182
2026-05-13,182
2026-05-14,182
2026-05-15,182
