id,name,mpn,slug_cu,name_slug,mpn_slug,slug_moi
368b0c40-6783-4bf6-91ab-a2b9e213ac1d,Cửa gió trong (vent gió) chính hãng,CUAGIO,cuagio,cua-gio-trong-vent-gio-chinh-hang,cuagio,cua-gio-trong-vent-gio-chinh-hang-cuagio
2a4fb2a1-cf48-4592-832a-b989480b3902,Hệ phụ kiện đồng bộ,PHUKIEN,phukien,he-phu-kien-dong-bo,phukien,he-phu-kien-dong-bo-phukien
b3927f18-f2dc-47ca-9078-e2769e35b1cc,"Máy cấp khí tươi, khử nồm G2",G2,g2,may-cap-khi-tuoi-khu-nom-g2,g2,may-cap-khi-tuoi-khu-nom-g2-g2
d75131fb-2e23-46de-a3f2-c6b399c53c4e,"Máy cấp khí tươi, khử nồm HGS-90 PRO",HGS-90 PRO,hgs-90-pro,may-cap-khi-tuoi-khu-nom-hgs-90-pro,hgs-90-pro,may-cap-khi-tuoi-khu-nom-hgs-90-pro-hgs-90-pro
be9e94df-faba-4b67-979a-c8ae0e2912c1,"Máy cấp khí tươi, lọc không khí Smart O2 S1",O2 S1,o2-s1,may-cap-khi-tuoi-loc-khong-khi-smart-o2-s1,o2-s1,may-cap-khi-tuoi-loc-khong-khi-smart-o2-s1-o2-s1
1d7ec623-9201-4239-b06d-76f9c57fba30,Máy điều hòa tủ đứng Daikin inverter 2.5Hp ( 1 pha ),FVA60AMVM,25hp-fva60amvm,may-dieu-hoa-tu-dung-daikin-inverter-25hp-1-pha,fva60amvm,may-dieu-hoa-tu-dung-daikin-inverter-25hp-1-pha-fva60amvm
1d813eef-9120-4cde-a59b-52fc98dc2b32,Máy điều hòa tủ đứng Daikin inverter 2Hp ( 1 pha ),FVA50AMVM,2hp-fva50amvm,may-dieu-hoa-tu-dung-daikin-inverter-2hp-1-pha,fva50amvm,may-dieu-hoa-tu-dung-daikin-inverter-2hp-1-pha-fva50amvm
22cf4d79-aee3-43fb-8f1a-3f5a05f88ec3,Máy điều hòa tủ đứng Daikin inverter 3Hp ( 1 pha ),FVA71AMVM,25hp-fva71amvm,may-dieu-hoa-tu-dung-daikin-inverter-3hp-1-pha,fva71amvm,may-dieu-hoa-tu-dung-daikin-inverter-3hp-1-pha-fva71amvm
e398055b-8e31-4c5d-a826-c6c259b71526,Máy điều hòa tủ đứng Daikin inverter 4Hp ( 1 pha ),FVA100AMVM,4hp-fva100amvm,may-dieu-hoa-tu-dung-daikin-inverter-4hp-1-pha,fva100amvm,may-dieu-hoa-tu-dung-daikin-inverter-4hp-1-pha-fva100amvm
3eb72cec-5b13-4e99-974d-baf9a811bf15,Máy điều hòa tủ đứng Daikin inverter 5.5Hp ( 1 pha ),FVA140AMVM,55hp-fva140amvm,may-dieu-hoa-tu-dung-daikin-inverter-55hp-1-pha,fva140amvm,may-dieu-hoa-tu-dung-daikin-inverter-55hp-1-pha-fva140amvm
